tf,contrast,method,nes,n_networks,fdr
BHLHE41,basal_to_club,viper,0.7721392618350675,2.0,0.7082452614538031
BHLHE41,basal_to_goblet,viper,1.015729826304702,2.0,0.6670942367328536
BNC1,basal_to_ciliated,viper,-12.796648752355063,3.0,9.019731429243684e-17
BNC1,basal_to_club,viper,-14.207218151450116,3.0,5.2639216535131326e-20
BNC1,basal_to_goblet,viper,-11.690290072446388,3.0,2.174276661366645e-13
BNC2,basal_to_ciliated,viper,-4.907493301537337,3.0,0.0015106927083468
BNC2,basal_to_club,viper,-8.850130718380438,3.0,1.0937177398709375e-07
BNC2,basal_to_goblet,viper,-8.117681278402769,3.0,4.9962567704360666e-06
BPTF,basal_to_ciliated,viper,3.582969331482805,2.0,0.0189755085397898
BPTF,basal_to_club,viper,1.2524030103653938,2.0,0.5317977384725214
BPTF,basal_to_goblet,viper,-1.7139123422042999,2.0,0.3158162366882903
BRF2,basal_to_ciliated,viper,-4.6016212152064,3.0,0.0034792147150849
BRF2,basal_to_club,viper,-5.900166795007934,3.0,0.0011530800471318
BRF2,basal_to_goblet,viper,-4.227651987320343,3.0,0.0134582043362625
CAMTA1,basal_to_ciliated,viper,-4.278342479385126,3.0,0.0024680136077833
CAMTA1,basal_to_club,viper,-4.423458277220287,3.0,0.0022064890544311
CAMTA1,basal_to_goblet,viper,-3.799508706081103,3.0,0.0104690109766046
CAMTA2,basal_to_ciliated,viper,-3.515580022449696,3.0,0.0221371918042904
CAMTA2,basal_to_club,viper,-0.47760605366915265,3.0,0.6360209784421424
CAMTA2,basal_to_goblet,viper,-1.7422508648958164,3.0,0.3045524030464334
CARF,basal_to_ciliated,viper,7.832405324835566,2.0,3.24780910133896e-09
CARF,basal_to_club,viper,0.7792389582760031,2.0,0.7732415353848121
CARF,basal_to_goblet,viper,-1.4263580488677952,2.0,0.4955818182437208
CASZ1,basal_to_ciliated,viper,7.572701016085495,3.0,2.7863917092065156e-07
CASZ1,basal_to_club,viper,3.901160203251521,3.0,0.0207993884758835
CASZ1,basal_to_goblet,viper,4.409993830088413,3.0,0.0091122225584322
CBLL2,basal_to_ciliated,viper,-4.620667590944678,3.0,0.0018203259796951
CBLL2,basal_to_club,viper,-5.219759892943634,2.0,6.230043445185791e-05
CBLL2,basal_to_goblet,viper,-4.80534495776024,3.0,0.001168560728692
CBX2,basal_to_ciliated,viper,-13.020615913956606,5.0,1.423730357841992e-12
CBX2,basal_to_club,viper,-10.908056870959337,5.0,6.528500536235914e-08
CBX2,basal_to_goblet,viper,-11.542173138118397,5.0,5.2775772530731034e-08
CC2D1A,basal_to_ciliated,viper,2.2810295797983287,2.0,0.1157228949210592
CC2D1A,basal_to_club,viper,1.3500863807272108,2.0,0.4876643409679599
CC2D1A,basal_to_goblet,viper,1.3798092436440712,2.0,0.4995448737918196
