,dataset_id,donor_id,cell_class,n_cells
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD70|club,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD70,club,36
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD84|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD84,ciliated,416
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD84|club,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD84,club,107
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD92|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD92,ciliated,415
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD92|club,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD92,club,46
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD94|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD94,ciliated,160
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD94|club,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD94,club,200
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD95|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD95,ciliated,189
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD95|club,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD95,club,67
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD98|ciliated,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD98,ciliated,202
Banovich_Kropski_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD98|club,Banovich_Kropski_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD98,club,71
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D322|basal,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D322,basal,1493
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D322|club,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D322,club,39
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326|basal,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326,basal,3661
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326|ciliated,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326,ciliated,335
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326|club,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326,club,164
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326|goblet,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D326,goblet,51
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D337|ciliated,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D337,ciliated,794
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D337|club,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D337,club,242
Barbry_Leroy_2020|homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339|basal,Barbry_Leroy_2020,homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D339,basal,2757
