,basal_to_club,basal_to_goblet,basal_to_ciliated
ACIN1,-0.7037633581583222,-0.7507635959736754,-0.2957272769640234
ACKR1,,0.7059143323490893,0.1526388287927314
ACKR3,0.5441889750680715,-0.43871119431045336,-0.9294114678076255
ACKR4,,,1.4958362515767838
ACLY,0.8715324753655099,1.6858560034279417,1.085249457652509
ACO1,0.5032464699144996,0.8758911025141254,-0.48040693542098545
ACO2,-1.0486265682016689,-0.5304856510255671,0.08318536539598823
ACOT11,-1.577618879451535,-1.2892866154008247,0.01205863631129724
ACOT13,-0.15129531443904534,0.5662810225401393,-0.2299896405594687
ACOT2,-0.3050706339739467,-0.27090568516503977,-0.532025465272228
ACOT4,,0.5826366156301411,-0.00885546216858426
ACOT7,-1.923743275149504,-1.3995064743725973,-1.4123488683158534
ACOT8,0.900861581767623,0.45064020282705386,0.9765877194422277
ACOT9,-0.20299821642803662,0.37531094343815674,0.570630483576856
ACOX1,1.3542564640048467,1.4160003610105931,-0.14064051666550867
ACOX2,-0.11574474126736933,-0.8363972561990093,-1.279156780104573
ACOX3,0.9656458870214002,1.2431194342674339,0.9221810322623083
ACP1,0.410433076619041,0.822172743881117,-0.12087715854017629
ACP2,0.6214352649758484,1.469537626481174,-0.9546643881907912
ACP3,,1.583189148900567,
ACP5,-0.5126782741993963,-0.5905513127882552,-0.9466711535118488
ACP6,0.07941582316499156,1.1388206061134456,0.22592884222541346
ACSBG1,,,2.5435210922190197
ACSF2,0.9409789164799701,-0.16700514473917052,0.16103155099943778
ACSF3,0.20041304723051406,0.3991885558234208,0.13208277334246324
ACSL1,1.7394955496345998,1.691853303336798,0.4993133822986573
ACSL3,1.3496618239641718,2.2175683287075283,-0.011493362232153201
ACSL4,0.3473322106171978,-0.34647728873216815,-1.523511492237497
ACSL5,1.6388704702366852,0.9991581964935674,-0.21473241684642289
ACSL6,,-0.21727693921020388,
ACSM1,,0.9490838716186942,0.7319136292780575
ACSM3,-0.6419582034029712,-1.1096819983554194,-1.0985869184448498
ACSS1,1.2971496620718959,1.1862531426463314,1.3745454858378725
ACSS2,1.8337084080963308,1.527653265691311,0.1960666134409533
ACSS3,-1.018378884583493,-1.4605830389885082,-0.7582752349862246
ACTA2,-0.6934757733854781,-0.8679892800802076,0.10760190566568055
ACTB,-0.3510035723624316,-1.1204132036342038,-0.8035140298568594
ACTG1,-1.2693454897686964,-1.162210020694458,-1.6872701752419268
ACTL6A,-1.0931624920077438,-0.9950131962658437,-0.976284231258177
ACTMAP,,-0.19593430094599953,0.3860105228919675
ACTN1,-1.7673452979971729,-1.166466761901887,0.42364048977963575
ACTN4,-0.7795676841074046,-0.05549919990646791,-0.34331833369524317
ACTR10,-0.28942600460038265,-0.09722672781636686,-0.19472231333411474
ACTR1A,0.747208045968633,1.1217636964367803,-0.3919038145035245
ACTR1B,0.3154611084950021,0.2574778833009147,0.4937719743598785
ACTR2,0.4990689338004319,1.5965740643753419,0.29887807993554355
ACTR3,-0.9969530040350495,-0.04341767617058312,-0.5764048730121704
ACTR3B,0.2827087713563157,-0.26194854151872093,0.9363986952485075
ACTR3C,0.8063734326364992,0.5624795432157477,0.9778025727461389
ACTR5,0.3874916262672266,-0.29565269106446807,-0.4558097964966016
ACTR6,-0.6570291866170614,-0.6180060562285077,0.7769949396686839
ACTR8,-0.055180721146860116,0.33769347213263207,-0.7375899241674726
ACTRT3,,0.006123429655484162,
ACVR1,1.492380405682946,1.367614813557039,0.33334281204987126
ACVR1B,-0.4506056812866076,-1.0080986644996475,0.8089902654487435
ACVR2A,-1.199306420517605,-0.6121308103209967,-0.7552646603207316
ACVR2B,,0.19061293579192085,0.9531795656246549
ACY1,-0.02752226874128535,-0.32475604548465475,-0.6276755945525452
ACY3,,2.014359196718662,
ACYP1,-1.2301270883643922,-1.410135134992812,1.6545508798410942
ACYP2,0.3677074160474511,0.08257944462006596,0.10646494184908456
ADA,,-0.8727238354530498,
ADA2,0.4335926262656596,-0.08601352092389675,0.8386180042004341
ADAD2,,-0.9687644274039408,
ADAM10,1.7109392451398526,1.3366163637551995,-0.12505367370947482
ADAM12,,,1.2315161350834576
ADAM15,0.06925530300045761,0.9618767670260963,-0.8245075410913085
ADAM17,-0.130130698777244,-0.39879851322809234,-0.46965023092015057
ADAM28,1.2092930016183312,0.5937705142063998,-1.3644393048698222
ADAM8,0.43106421264358113,0.16134629354177907,-0.5902529969965897
ADAM9,0.38922986978319646,1.5410953695495477,-0.9472611689527719
ADAMTS1,,-0.6149569824406527,-0.533328252028872
ADAMTS14,,,1.2757483304450543
ADAMTS17,,1.329609168445078,
ADAMTS9,,0.06596431440498127,
ADAMTSL3,-0.9039757347773223,0.8199021725942813,-1.0815223538412615
ADAMTSL4,,0.36817052844018777,
ADAMTSL5,,-1.515616611534883,-1.9517986330045078
ADAP1,0.16155252543765558,0.24298322390214294,0.55671672761972
ADAP2,,,1.2100811772999864
ADAR,1.3770760193354734,0.9102403105106736,0.6587253385297754
ADARB1,,-0.3173606432528227,0.12201599597648075
ADARB2,,-0.7121667141202667,
ADAT1,0.6312418424071579,0.5125343998848793,0.6563865129569592
ADAT2,-0.356396822877211,-0.6886892786254526,-1.3372270747319863
ADAT3,,0.34246400974360164,0.3373289854972473
ADCK1,,0.6526055080364856,-0.7978027470392234
ADCK2,0.08311253621460762,0.2224431027424809,-0.9375676814830691
ADCK5,-0.27528667144598423,-0.017830819728257463,-0.15626160535890127
ADCY2,0.5549017364070772,1.2934326195402877,0.3232018323988923
ADCY3,-1.4313856945938292,-1.5560293788240669,-1.3981883163858355
ADCY4,,0.6125652873595792,
ADCY6,1.832472676529506,1.6316907615672827,0.37244569911486713
ADCY7,,0.5933409323839214,
ADCY9,-0.5082187341489254,-1.083721525571307,0.4952623938733356
ADD1,0.572718817642905,-0.24780895688733426,0.39414275529246867
ADD3,0.48944148973430174,-0.7932234445042095,0.6019553658324022
ADGB,,,2.1853458266916364
ADGRA1,,,0.8962593741573116
ADGRA3,-0.036738369221486086,-1.1010560770794553,0.11935895219612135
ADGRB2,,,1.4226396301630948
ADGRE2,,0.43890949571263876,
ADGRE5,0.40993208960408245,0.34208208123129935,1.1804451563095402
ADGRF1,0.765909919011013,1.436922384005939,0.49185733051198144
ADGRF4,,0.021793794459509797,
ADGRF5,1.9064515970691882,0.9575950575556668,0.5670864594240749
ADGRG1,-0.6175293591293173,-0.03837065953738499,-0.8343407484848628
ADGRG6,-0.5926399447392302,-1.4135506059040188,-1.893222230192066
ADGRL1,0.13989116657973133,0.018191077651678395,0.4593663109015303
ADGRL1-AS1,,0.4672487968593893,
ADGRL2,-1.460199742695902,-1.7102201225325788,-2.5581472936085814
ADGRV1,1.3652848849044368,1.1615026088168823,1.158051416208155
ADH1C,-0.12688000834619964,-0.4852025244958783,-0.9242006831029994
ADH5,-1.953908924322685,-2.0647952575967894,-1.2702409996685384
ADH6,,,1.5806823258291243
ADH7,-2.078465410475062,-1.7125569466078523,-0.8450628181253486
ADHFE1,0.9856609974109899,-0.0814952036819656,0.6794653508100955
ADI1,0.8162946228653817,0.858317702403087,-2.1257539493231197
ADIPOR1,1.1759977529249048,1.2688813000536134,0.5298561575433128
ADIPOR2,0.69025768304689,0.7374609615851946,-0.6935355217595767
ADIRF,-1.1251109298516786,-1.847570757515737,-1.757848436864055
ADISSP,-1.6865713429221385,-2.0929255814155483,-1.9081330436695372
ADK,-0.9961962518821934,-1.8898889613857834,-1.3395340627875356
ADM,-0.35885172210003813,0.3022442532300139,-0.41499998759214685
ADM2,,2.5545108439125066,
ADM5,,0.3141424541221067,
ADNP,-0.5811502675618292,-0.8053696347902237,-0.2604743538772046
ADNP-AS1,,0.22927896031363398,0.4408099753445543
ADNP2,-0.02982604414278763,-0.3056393017843683,-0.36578977768149745
ADO,-0.05126036291936866,-0.43217686101949987,-0.9881876945267922
