tf,target,z,n_lib,likelihood,libraries,w_contrib
FOXA2,RASSF6,-2.3769762156493672,3,0.3789036402637442,"ENCODE_ChIP-seq,GTEx_Coexpression,ReMap_ChIP-seq",-0.9006449409298839
FOXA2,LAMB1,-2.648519438411802,2,0.3789019176371928,"ENCODE_ChIP-seq,ReMap_ChIP-seq",-1.0035290941136126
FOXA2,SLC1A5,-2.697697500246651,1,0.378460342484641,ENCODE_ChIP-seq,-1.0209715198633074
FOXA2,CCN2,-1.2565645839295845,4,0.38024929324934714,"ENCODE_ChIP-seq,Enrichr_Queries,Literature_ChIP-seq,ReMap_ChIP-seq",-0.4778077949613844
FOXA2,EZH1,0.0215331057145094,2,0.3802348634990811,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.008187637512067764
FOXA2,MAN2C1,1.0671634705232729,2,0.37881037310150584,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.40425259242921885
FOXA2,IKBKE,0.3120744771869775,1,0.3727721481146187,ENCODE_ChIP-seq,0.11633267323273616
FOXA2,CDKN1B,0.6524638668277276,2,0.3727287848508929,"ENCODE_ChIP-seq,ReMap_ChIP-seq",0.24319206424181372
FOXA2,NCOA5,0.916871610759553,2,0.37754456741336656,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.3461598956578121
FOXA2,PYGL,-1.3221214904787968,2,0.3769387074964295,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.4983587657743306
FOXA2,HIBADH,0.2995264999846829,2,0.37325530433158116,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.11179985490715616
FOXA2,CCDC90B,-1.2252344219011295,1,0.3669406355858903,ENCODE_ChIP-seq,-0.44958829751411133
FOXA2,CABIN1,0.1760350306454825,1,0.3656125551575362,ENCODE_ChIP-seq,0.06436061735153005
FOXA2,VPS13B,0.7356888553945544,2,0.36953022628785914,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.2718592692114058
FOXA2,GCNT2,1.5239751105038852,2,0.36887638478456286,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.5621584292643279
FOXA2,CCDC34,-1.6789811430461887,2,0.3611602446353253,"ENCODE_ChIP-seq,ReMap_ChIP-seq",-0.6063812403606597
FOXA2,KDM3A,-0.5888014279757405,2,0.3663715687199469,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.2157201028320169
FOXA2,PCBP2,0.4064280513878762,1,0.3599330042584489,ENCODE_ChIP-seq,0.14628686955094553
FOXA2,NR6A1,-0.321517703656665,2,0.3646776663104478,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.11725032584700672
FOXA2,FOCAD,0.2105264944825067,2,0.3641650431624157,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.07666638995005413
FOXA2,DEPTOR,0.9366851583233582,2,0.36158555652933283,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.3386918242651177
FOXA2,TPRG1L,-0.1053184729597327,2,0.36064510318298426,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.03798259154763714
FOXA2,HIPK1,0.9316974975414892,2,0.35969856992231697,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.3351302574658751
FOXA2,WBP2,1.103263565667651,1,0.3539456342932288,ENCODE_ChIP-seq,0.390495322542846
FOXA2,DAD1,0.6844248381069018,3,0.35709506594158386,"ENCODE_ChIP-seq,Literature_ChIP-seq,ReMap_ChIP-seq",0.24440473269584195
FOXA2,CALM2,0.6270316430223946,2,0.3533078698033077,"ENCODE_ChIP-seq,ReMap_ChIP-seq",0.22153521409551027
FOXA2,ZER1,0.9958180896611866,1,0.3528668777200581,ENCODE_ChIP-seq,0.35139122007589574
FOXA2,PIGK,0.566489463956097,2,0.3574315197720971,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.20248119003670836
FOXA2,MBP,1.1333888661500104,2,0.35629093384228083,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.4038161775270311
FOXA2,AKAP9,-0.1571212531664289,2,0.35527076590286777,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.05582058795205558
FOXA2,HSPA2,-1.669627379902633,1,0.3495152794010414,ENCODE_ChIP-seq,-0.5835602801822974
FOXA2,CDKAL1,0.1055500392794805,2,0.35344512175523124,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.03730614648440543
FOXA2,THUMPD3,0.686755171460231,2,0.3528193175708455,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.2423004909328477
FOXA2,CBLL1,0.3632760078942122,2,0.3517287826638138,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.12777462802760128
FOXA2,SULT1E1,-2.027341804839915,1,0.342065019525455,ENCODE_ChIP-seq,-0.6934827140573366
FOXA2,MZF1,0.264300984351401,1,0.3404787012920656,ENCODE_ChIP-seq,0.08998885590217956
FOXA2,FAM43A,-1.0371231734947102,1,0.3400905366351923,ENCODE_ChIP-seq,-0.3527157766306096
FOXA2,KIF3B,1.375295137984929,2,0.34499476643465277,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.47446962490782413
FOXA2,NKIRAS1,0.4472945805903327,2,0.3388012333682837,"ENCODE_ChIP-seq,ReMap_ChIP-seq",0.15154395558295392
FOXA2,TIMM13,-1.0570440106034065,2,0.34274815006661924,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.3622998791733174
FOXA2,ATP6V0D1,-0.4894414897343017,2,0.3411254522354846,"ENCODE_ChIP-seq,Literature_ChIP-seq",-0.16696094952842297
FOXA2,RPS27L,0.7736523147366811,1,0.3331653492862658,ENCODE_ChIP-seq,0.25775414366537436
FOXA2,SNX5,-0.837035974173994,3,0.33603301214763776,"ENCODE_ChIP-seq,Literature_ChIP-seq,ReMap_ChIP-seq",-0.28127171967761955
FOXA2,RPN2,1.1028404396807026,2,0.33535356390449866,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.3698414718649279
FOXA2,EXPH5,0.7848835989236723,2,0.33475103401277717,"ENCODE_ChIP-seq,Literature_ChIP-seq",0.2627405963193692
