tf,atlas_Donor_1,atlas_Donor_2,resol_Donor_1,resol_Donor_2,n_support,pct_club_mean
ZBTB42,False,False,False,False,0,0.407
ATF2,False,False,False,False,0,0.408
SOX21,False,False,False,False,0,0.409
PPARA,False,False,False,False,0,0.412
SNAPC4,False,False,False,False,0,0.413
ZNF429,False,False,False,False,0,0.413
ZNF544,False,False,False,False,0,0.416
GLIS3,False,False,False,False,0,0.418
ISL1,False,False,False,False,0,0.418
ESRRA,False,False,False,False,0,0.421
TSHZ1,False,False,False,False,0,0.424
ZNF605,False,False,False,False,0,0.425
HLF,False,False,False,False,0,0.425
ATF7,False,False,False,False,0,0.425
EHF,False,False,False,False,0,0.426
TRERF1,False,False,False,False,0,0.426
ZNF35,False,False,False,False,0,0.427
ZNF814,False,False,False,False,0,0.427
ZNF22,False,False,False,False,0,0.428
NFE2L3,False,False,False,False,0,0.428
PURB,False,False,False,False,0,0.429
KLF3,False,False,False,False,0,0.431
ZNF226,False,False,False,False,0,0.432
SCMH1,False,False,False,False,0,0.432
DZIP1,False,False,False,False,0,0.432
ANKZF1,False,False,False,False,0,0.433
FOSL1,False,False,False,False,0,0.434
CASZ1,False,False,False,False,0,0.435
ZNF713,False,False,False,False,0,0.436
TFCP2L1,False,False,False,False,0,0.436
PKNOX1,False,False,False,False,0,0.438
ZNF195,False,False,False,False,0,0.439
TBP,False,False,False,False,0,0.44
ZNF576,False,False,False,False,0,0.44
ZNF594,False,False,False,False,0,0.443
ZNF629,False,False,False,False,0,0.445
KDM2B,False,False,False,False,0,0.445
MECOM,False,False,False,False,0,0.445
SATB1,False,False,False,False,0,0.446
SLC2A4RG,False,False,False,False,0,0.446
DNTTIP1,False,False,False,False,0,0.447
NFXL1,False,False,False,False,0,0.45
SIX4,False,False,False,False,0,0.451
RORA,False,False,False,False,0,0.452
ELK1,False,False,False,False,0,0.452
DRAP1,False,False,False,False,0,0.462
ZNF3,False,False,False,False,0,0.462
ZNF704,False,False,False,False,0,0.464
GRHL3,False,False,False,False,0,0.465
GTF2IRD2B,False,False,False,False,0,0.465
ZBTB33,False,False,False,False,0,0.467
NR3C2,False,False,False,False,0,0.468
ZNF436,False,False,False,False,0,0.471
NR2F2,False,False,False,False,0,0.472
RXRA,False,False,False,False,0,0.474
ZNF793,False,False,False,False,0,0.474
GMEB2,False,False,False,False,0,0.475
EEA1,False,False,False,False,0,0.477
CENPBD1,False,False,False,False,0,0.478
MEIS2,False,False,False,False,0,0.478
ZNF718,False,False,False,False,0,0.479
SOX15,False,False,False,False,0,0.48
ZNF791,False,False,False,False,0,0.48
DMTF1,False,False,False,False,0,0.481
ZNF280D,False,False,False,False,0,0.481
SP3,False,False,False,False,0,0.482
ZNF471,False,False,False,False,0,0.482
ZNF654,False,False,False,False,0,0.484
LIN54,False,False,False,False,0,0.484
FOXD1,False,False,False,False,0,0.484
L3MBTL3,False,False,False,False,0,0.485
ZBTB21,False,False,False,False,0,0.487
TERF2,False,False,False,False,0,0.487
THAP3,False,False,False,False,0,0.492
AHR,False,False,False,False,0,0.493
ZNF785,False,False,False,False,0,0.494
PRDM1,False,False,False,False,0,0.497
ZNF7,False,False,False,False,0,0.498
CUX1,False,False,False,False,0,0.502
FOXA1,False,False,False,False,0,0.502
ZNF652,False,False,False,False,0,0.505
ZNF354B,False,False,False,False,0,0.505
IRX5,False,False,False,False,0,0.507
MAF,False,False,False,False,0,0.508
ZNF462,False,False,False,False,0,0.509
PHF1,False,False,False,False,0,0.51
CREB3L2,False,False,False,False,0,0.51
HBP1,False,False,False,False,0,0.511
ZNF581,False,False,False,False,0,0.513
HIF1A,False,False,False,False,0,0.513
THAP1,False,False,False,False,0,0.513
ATF4,False,False,False,False,0,0.515
ZNF484,False,False,False,False,0,0.517
BNC1,False,False,False,False,0,0.517
PREB,False,False,False,False,0,0.517
CXXC4,False,False,False,False,0,0.518
ZNF615,False,False,False,False,0,0.521
TBX1,False,False,False,False,0,0.523
ZNF10,False,False,False,False,0,0.524
ZNF282,False,False,False,False,0,0.525
GMEB1,False,False,False,False,0,0.525
ZNF558,False,False,False,False,0,0.526
BCL11B,False,False,False,False,0,0.526
ZSCAN21,False,False,False,False,0,0.527
CREB3,False,False,False,False,0,0.527
CAMTA1,False,False,False,False,0,0.528
CREB3L1,False,False,False,False,0,0.528
MSANTD4,False,False,False,False,0,0.529
ZNF589,False,False,False,False,0,0.531
ZNF354C,False,False,False,False,0,0.531
PITX1,False,False,False,False,0,0.533
DMRT2,False,False,False,False,0,0.534
ZNF775,False,False,False,False,0,0.534
IRF3,False,False,False,False,0,0.535
