tf,atlas_Donor_1,atlas_Donor_2,resol_Donor_1,resol_Donor_2,n_support,pct_club_mean
STAT6,False,False,False,False,0,0.817
GZF1,False,False,False,False,0,0.817
DDIT3,False,False,False,False,0,0.818
ZNF503,False,False,False,False,0,0.82
TFE3,False,False,False,False,0,0.821
CEBPA,False,False,False,False,0,0.822
KLF9,False,False,False,False,0,0.822
HIVEP2,False,False,False,False,0,0.823
CENPB,False,False,False,False,0,0.823
JUN,False,False,False,False,0,0.823
RUNX1,False,False,False,False,0,0.825
TBX6,False,False,False,False,0,0.827
SP110,False,False,False,False,0,0.828
ELF1,False,False,False,False,0,0.83
VDR,False,False,False,False,0,0.83
MAFF,False,False,False,False,0,0.835
SP100,False,False,False,False,0,0.837
FAM200B,False,False,False,False,0,0.837
ZNF562,False,False,False,False,0,0.841
TSC22D1,False,False,False,False,0,0.842
JUND,False,False,False,False,0,0.846
ZNF25,False,False,False,False,0,0.85
USF2,False,False,False,False,0,0.851
MYRF,False,False,False,False,0,0.852
ZNF267,False,False,False,False,0,0.852
MXD4,False,False,False,False,0,0.853
MSANTD3,False,False,False,False,0,0.854
TBPL1,False,False,False,False,0,0.856
ZNF706,False,False,False,False,0,0.859
CAMTA2,False,False,False,False,0,0.86
ZNF786,False,False,False,False,0,0.86
ZBTB18,False,False,False,False,0,0.861
IRF2,False,False,False,False,0,0.861
STAT5A,False,False,False,False,0,0.862
ARNTL,False,False,False,False,0,0.863
ZNF277,False,False,False,False,0,0.864
STAT3,False,False,False,False,0,0.866
ZHX3,False,False,False,False,0,0.867
AKNA,False,False,False,False,0,0.867
GPBP1,False,False,False,False,0,0.867
MAFG,False,False,False,False,0,0.868
TET2,False,False,False,False,0,0.87
ZNF586,False,False,False,False,0,0.871
EGR1,False,False,False,False,0,0.875
STAT2,False,False,False,False,0,0.875
ZNF354A,False,False,False,False,0,0.877
SNAPC2,False,False,False,False,0,0.877
NR4A1,False,False,False,False,0,0.877
ZBTB8A,False,False,False,False,0,0.878
NFE2L1,False,False,False,False,0,0.878
XBP1,False,False,False,False,0,0.88
TFEB,False,False,False,False,0,0.882
ZSCAN16,False,False,False,False,0,0.885
ZBTB17,False,False,False,False,0,0.889
ZNF428,False,False,False,False,0,0.889
KDM5B,False,False,False,False,0,0.89
ZNF331,False,False,False,False,0,0.89
ARID3A,False,False,False,False,0,0.892
ZNF883,False,False,False,False,0,0.892
LTF,False,False,False,False,0,0.894
SMAD3,False,False,False,False,0,0.894
ZNF432,False,False,False,False,0,0.896
KLF11,False,False,False,False,0,0.904
HMG20B,False,False,False,False,0,0.907
HSF2,False,False,False,False,0,0.91
RELA,False,False,False,False,0,0.912
PPARG,False,False,False,False,0,0.914
ZNF688,False,False,False,False,0,0.916
CEBPD,False,False,False,False,0,0.919
GTF2IRD1,False,False,False,False,0,0.922
REL,False,False,False,False,0,0.923
ATF5,False,False,False,False,0,0.925
ZNF394,False,False,False,False,0,0.925
ZNF101,False,False,False,False,0,0.926
NACC2,False,False,False,False,0,0.93
ZBTB48,False,False,False,False,0,0.939
USF1,False,False,False,False,0,0.951
SP140L,False,False,False,False,0,0.955
NAIF1,False,False,False,False,0,0.967
GTF2B,False,False,False,False,0,0.99
